"date","load"
2011-07-01,3504.50988500532
2011-07-02,3701.40899324145
2011-07-03,3762.86000265848
2011-07-04,3766.61051248959
2011-07-05,3785.21230780553
2011-07-06,3779.92797400076
2011-07-07,3822.53745685049
2011-07-08,3890.85219042778
2011-07-09,3969.34101587355
2011-07-10,4041.8183027926
2011-07-11,4034.14887072936
2011-07-12,3958.24057552889
2011-07-13,3888.27766316615
2011-07-14,3848.53259183847
2011-07-15,3909.8250510289
2011-07-16,4000.66440188811
2011-07-17,4006.83422399584
2011-07-18,3955.99309144887
2011-07-19,3914.67468570669
2011-07-20,3908.88277021382
2011-07-21,3896.32329129158
2011-07-22,3941.37547430658
2011-07-23,4039.86219839557
2011-07-24,4078.76640977214
2011-07-25,4031.8949931078
2011-07-26,4019.5475557165
2011-07-27,3993.41266860195
2011-07-28,3957.08264358183
2011-07-29,3995.14287263823
2011-07-30,4078.75808654384
2011-07-31,4056.88658259491
