"date","forecast"
2011-07-01,3512.35502612444
2011-07-02,3345.45252798774
2011-07-03,3528.75223953398
2011-07-04,3707.27789666505
2011-07-05,3477.76490386123
2011-07-06,3517.16643944346
2011-07-07,3819.38047342099
2011-07-08,4067.50684363921
2011-07-09,3830.65247953597
2011-07-10,3615.47540348679
2011-07-11,4067.48137624858
2011-07-12,3727.81451386675
2011-07-13,3691.23513894649
2011-07-14,3841.16101283458
2011-07-15,4048.83848248403
2011-07-16,4030.82647641572
2011-07-17,3880.12793413298
2011-07-18,4101.48596364598
2011-07-19,3795.20651724188
2011-07-20,3887.55600452302
2011-07-21,4030.32017470394
2011-07-22,4173.53040313536
2011-07-23,3960.15538232759
2011-07-24,3830.2008563294
2011-07-25,4108.18530388342
2011-07-26,4137.44940955268
2011-07-27,4014.59349772656
2011-07-28,4042.27208125167
2011-07-29,4201.20543667726
2011-07-30,4176.8464863731
2011-07-31,3693.04184631978
