"date","load"
2011-07-01,3538.55884270229
2011-07-02,3749.05420888316
2011-07-03,3849.15654580237
2011-07-04,3830.62930813459
2011-07-05,3836.29094306913
2011-07-06,3843.40163121817
2011-07-07,3832.88307925991
2011-07-08,3876.50866673438
2011-07-09,3924.23282857486
2011-07-10,4001.98335098257
2011-07-11,4008.34884358712
2011-07-12,3942.37517259665
2011-07-13,3879.22874829181
2011-07-14,3838.01643749593
2011-07-15,3889.94220050969
2011-07-16,4024.516963771
2011-07-17,4050.20612568837
2011-07-18,3996.12844822399
2011-07-19,3961.85672480227
2011-07-20,3964.79751049441
2011-07-21,3973.46157464281
2011-07-22,4012.04619452386
2011-07-23,4104.76196331857
2011-07-24,4155.87958170173
2011-07-25,4094.34044324888
2011-07-26,4045.28594267886
2011-07-27,4027.9829987794
2011-07-28,4014.06123584911
2011-07-29,4052.91555863976
2011-07-30,4164.14024036306
2011-07-31,4141.67562543939
