"date","forecast"
2011-07-01,3522.27931580942
2011-07-02,3383.72910605749
2011-07-03,3597.94674785068
2011-07-04,3795.37623250406
2011-07-05,3572.27475491663
2011-07-06,3611.67629049886
2011-07-07,3913.89032447639
2011-07-08,4162.0166946946
2011-07-09,3925.16233059136
2011-07-10,3709.98525454219
2011-07-11,4161.99122730397
2011-07-12,3822.32436492214
2011-07-13,3785.74499000189
2011-07-14,3935.67086388997
2011-07-15,4143.34833353943
2011-07-16,4125.33632747111
2011-07-17,3974.63778518838
2011-07-18,4195.99581470138
2011-07-19,3889.71636829728
2011-07-20,3982.06585557842
2011-07-21,4124.83002575933
2011-07-22,4268.04025419076
2011-07-23,4054.66523338299
2011-07-24,3924.71070738479
2011-07-25,4202.69515493882
2011-07-26,4231.95926060808
2011-07-27,4109.10334878195
2011-07-28,4136.78193230707
2011-07-29,4295.71528773266
2011-07-30,4271.3563374285
2011-07-31,3787.55169737518
