"date","load"
2011-07-01,3582.73612467585
2011-07-02,3854.24264383384
2011-07-03,4019.82868358137
2011-07-04,3981.00518171146
2011-07-05,3959.60375140982
2011-07-06,3992.77823247583
2011-07-07,3965.40131576607
2011-07-08,3985.49378602126
2011-07-09,4137.52070652624
2011-07-10,4204.59491055054
2011-07-11,4110.72170458293
2011-07-12,4068.04634256522
2011-07-13,4098.07737954788
2011-07-14,4067.40812919662
2011-07-15,4084.05402297216
2011-07-16,4232.47504534332
2011-07-17,4295.77927910997
2011-07-18,4197.96766172918
2011-07-19,4151.18151155785
2011-07-20,4176.92593214629
2011-07-21,4141.79131872873
2011-07-22,4153.79076445592
2011-07-23,4297.38254046108
2011-07-24,4355.67368357562
2011-07-25,4252.66479233854
2011-07-26,4200.49758997479
2011-07-27,4220.67836225219
2011-07-28,4179.79949415175
2011-07-29,4185.87690270093
2011-07-30,4323.37253988117
2011-07-31,4375.39799926356
