"date","load"
2011-07-01,3587.54647847179
2011-07-02,3863.86998582433
2011-07-03,4025.51973062821
2011-07-04,3969.99577955851
2011-07-05,3940.70122665381
2011-07-06,3977.96417964209
2011-07-07,3952.40596528224
2011-07-08,3975.23219825989
2011-07-09,4138.58294214743
2011-07-10,4212.11350412422
2011-07-11,4109.53699550201
2011-07-12,4061.41235678119
2011-07-13,4093.38885732959
2011-07-14,4061.67154565661
2011-07-15,4079.3123740698
2011-07-16,4239.26154879079
2011-07-17,4308.65341237952
2011-07-18,4200.38676041176
2011-07-19,4147.08817461934
2011-07-20,4174.50076062705
2011-07-21,4137.67563813178
2011-07-22,4150.41360456061
2011-07-23,4306.14166233832
2011-07-24,4370.51592783393
2011-07-25,4256.09374530497
2011-07-26,4196.82539252211
2011-07-27,4218.47760593811
2011-07-28,4175.4901456031
2011-07-29,4182.05322906576
2011-07-30,4331.70746643261
2011-07-31,4389.52060301475
